date,year,month,month_name,day,day_of_week,day_name,week_of_year,quarter,season,is_weekend,is_us_holiday,us_holiday_name,is_thanksgiving_period,is_black_friday,is_black_friday_cyber_period,is_christmas_period,is_diwali_period,is_lunar_new_year_period,is_eid_period,is_holiday_season,fiscal_year,fiscal_quarter,fiscal_month
2020-01-01,2020,1,January,1,3,Wednesday,1,1,Winter,0,1,New Year,0,0,0,0,0,0,0,0,2020,1,1
2020-01-02,2020,1,January,2,4,Thursday,1,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-03,2020,1,January,3,5,Friday,1,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-04,2020,1,January,4,6,Saturday,1,1,Winter,1,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-05,2020,1,January,5,7,Sunday,1,1,Winter,1,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-06,2020,1,January,6,1,Monday,2,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-07,2020,1,January,7,2,Tuesday,2,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-08,2020,1,January,8,3,Wednesday,2,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-09,2020,1,January,9,4,Thursday,2,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-10,2020,1,January,10,5,Friday,2,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-11,2020,1,January,11,6,Saturday,2,1,Winter,1,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-12,2020,1,January,12,7,Sunday,2,1,Winter,1,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-13,2020,1,January,13,1,Monday,3,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-14,2020,1,January,14,2,Tuesday,3,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-15,2020,1,January,15,3,Wednesday,3,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-16,2020,1,January,16,4,Thursday,3,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-17,2020,1,January,17,5,Friday,3,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-18,2020,1,January,18,6,Saturday,3,1,Winter,1,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-19,2020,1,January,19,7,Sunday,3,1,Winter,1,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-20,2020,1,January,20,1,Monday,4,1,Winter,0,1,MLK Day,0,0,0,0,0,0,0,0,2020,1,1
2020-01-21,2020,1,January,21,2,Tuesday,4,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-22,2020,1,January,22,3,Wednesday,4,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-23,2020,1,January,23,4,Thursday,4,1,Winter,0,0,,0,0,0,0,0,1,0,0,2020,1,1
2020-01-24,2020,1,January,24,5,Friday,4,1,Winter,0,0,,0,0,0,0,0,1,0,0,2020,1,1
2020-01-25,2020,1,January,25,6,Saturday,4,1,Winter,1,0,,0,0,0,0,0,1,0,0,2020,1,1
2020-01-26,2020,1,January,26,7,Sunday,4,1,Winter,1,0,,0,0,0,0,0,1,0,0,2020,1,1
2020-01-27,2020,1,January,27,1,Monday,5,1,Winter,0,0,,0,0,0,0,0,1,0,0,2020,1,1
2020-01-28,2020,1,January,28,2,Tuesday,5,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-29,2020,1,January,29,3,Wednesday,5,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-30,2020,1,January,30,4,Thursday,5,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-01-31,2020,1,January,31,5,Friday,5,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,1
2020-02-01,2020,2,February,1,6,Saturday,5,1,Winter,1,0,,0,0,0,0,0,0,0,0,2020,1,2
