customer_id,region,segment,signup_date
C00001,NJ / Metro,Consumer,2020-01-06
C00002,Manhattan,Consumer,2022-04-15
C00003,Manhattan,Consumer,2021-06-29
C00004,Bronx,SMB,2022-05-31
C00005,Staten Island,SMB,2021-04-02
C00006,Bronx,Consumer,2022-11-13
C00007,Brooklyn,Consumer,2021-07-08
C00008,Staten Island,Consumer,2024-06-05
C00009,NJ / Metro,Consumer,2020-05-22
C00010,Queens,Consumer,2024-04-18
C00011,Queens,Consumer,2021-08-10
C00012,NJ / Metro,Consumer,2022-10-26
C00013,NJ / Metro,Consumer,2023-11-06
C00014,NJ / Metro,Consumer,2021-08-14
C00015,Queens,Consumer,2022-07-06
C00016,NJ / Metro,Consumer,2021-12-21
C00017,Manhattan,Consumer,2022-07-29
C00018,Queens,Consumer,2020-12-19
C00019,Queens,Consumer,2023-10-01
C00020,NJ / Metro,Consumer,2024-08-26
C00021,Queens,Consumer,2022-03-19
C00022,Queens,Consumer,2020-08-08
C00023,Bronx,Consumer,2023-09-17
C00024,NJ / Metro,Consumer,2024-11-01
C00025,NJ / Metro,Consumer,2024-12-10
C00026,NJ / Metro,Consumer,2023-12-07
C00027,Queens,Consumer,2020-12-05
C00028,Staten Island,Consumer,2020-09-21
C00029,Brooklyn,Consumer,2024-12-01
C00030,Queens,Consumer,2022-02-15
C00031,NJ / Metro,Consumer,2021-03-25
C00032,Brooklyn,Consumer,2024-12-21
C00033,Queens,SMB,2021-05-23
C00034,Staten Island,Consumer,2021-01-04
C00035,Brooklyn,Consumer,2020-06-29
C00036,Queens,Consumer,2023-12-29
C00037,Queens,Consumer,2024-01-07
C00038,Queens,Consumer,2021-11-24
C00039,Manhattan,Enterprise,2023-03-25
C00040,Manhattan,SMB,2022-12-19
C00041,Brooklyn,Consumer,2020-11-01
C00042,Queens,Consumer,2020-03-11
C00043,Staten Island,Consumer,2023-11-22
C00044,Bronx,Consumer,2023-03-19
C00045,NJ / Metro,Consumer,2022-11-22
C00046,Brooklyn,Consumer,2023-04-03
C00047,Staten Island,Consumer,2020-03-16
C00048,Queens,Consumer,2021-11-10
C00049,Manhattan,Enterprise,2024-01-24
C00050,Queens,Consumer,2021-08-16
C00051,Queens,Consumer,2020-11-14
C00052,Manhattan,Consumer,2024-12-07
C00053,NJ / Metro,Consumer,2021-07-04
C00054,Bronx,Consumer,2024-11-11
C00055,Manhattan,Consumer,2021-09-23
C00056,Manhattan,Consumer,2023-07-09
C00057,Staten Island,Consumer,2021-07-15
C00058,Manhattan,Enterprise,2024-05-31
C00059,NJ / Metro,Consumer,2021-12-29
C00060,Queens,Consumer,2024-11-08
C00061,Brooklyn,Consumer,2023-11-18
C00062,Staten Island,Consumer,2020-12-22
C00063,NJ / Metro,Consumer,2023-04-03
C00064,Brooklyn,Consumer,2022-12-04
C00065,Staten Island,Consumer,2024-02-04
C00066,Staten Island,Consumer,2022-03-24
C00067,Manhattan,Consumer,2021-11-17
C00068,Brooklyn,Consumer,2020-09-20
C00069,Brooklyn,Consumer,2021-06-20
C00070,Brooklyn,SMB,2023-05-26
C00071,Brooklyn,Consumer,2023-01-01
C00072,Queens,Consumer,2022-07-17
C00073,Queens,Consumer,2021-02-15
C00074,NJ / Metro,SMB,2021-10-19
C00075,Queens,Consumer,2020-02-27
C00076,Staten Island,Consumer,2021-09-17
C00077,Queens,Consumer,2021-12-20
C00078,Manhattan,Consumer,2022-01-04
C00079,Manhattan,Consumer,2020-09-21
C00080,NJ / Metro,Consumer,2021-08-28
C00081,Brooklyn,SMB,2021-08-05
C00082,Bronx,Consumer,2022-05-31
C00083,Brooklyn,Consumer,2022-05-16
C00084,Manhattan,Enterprise,2023-04-29
C00085,Bronx,Consumer,2022-03-05
C00086,NJ / Metro,SMB,2024-10-10
C00087,Staten Island,Consumer,2022-11-08
C00088,Manhattan,Consumer,2020-01-29
C00089,NJ / Metro,Consumer,2021-12-20
C00090,Staten Island,Consumer,2023-10-20
C00091,Manhattan,Consumer,2023-09-07
C00092,Queens,Consumer,2020-09-11
C00093,NJ / Metro,Consumer,2021-07-18
C00094,Manhattan,Consumer,2021-06-01
C00095,Brooklyn,Consumer,2023-09-03
C00096,Staten Island,Consumer,2023-08-25
C00097,Queens,Consumer,2021-09-30
C00098,NJ / Metro,Consumer,2022-11-20
C00099,Bronx,Consumer,2023-07-27
C00100,Staten Island,Consumer,2020-05-05
C00101,Queens,Enterprise,2022-08-18
C00102,NJ / Metro,Consumer,2020-11-27
C00103,Manhattan,Consumer,2021-07-15
C00104,Staten Island,Consumer,2020-03-11
C00105,Bronx,Consumer,2021-08-01
C00106,Bronx,Consumer,2021-08-21
C00107,NJ / Metro,Consumer,2024-11-16
C00108,Manhattan,Consumer,2022-05-23
C00109,Manhattan,SMB,2023-04-05
C00110,Queens,Consumer,2024-11-24
C00111,Brooklyn,Consumer,2023-08-27
C00112,Queens,Consumer,2021-02-11
C00113,Queens,Consumer,2020-04-26
C00114,Manhattan,Consumer,2021-07-24
C00115,Brooklyn,Consumer,2021-02-19
C00116,Queens,Consumer,2022-05-23
C00117,NJ / Metro,Consumer,2023-10-25
C00118,NJ / Metro,Consumer,2021-03-01
C00119,Staten Island,Consumer,2022-09-19
C00120,Brooklyn,Consumer,2020-12-17
C00121,Queens,Consumer,2021-11-28
C00122,Manhattan,Consumer,2020-05-10
C00123,Manhattan,Consumer,2021-05-16
C00124,Brooklyn,Consumer,2023-12-07
C00125,Brooklyn,Consumer,2022-04-24
C00126,Manhattan,Consumer,2023-07-30
C00127,NJ / Metro,SMB,2021-06-28
C00128,Staten Island,Consumer,2024-08-17
C00129,Queens,Consumer,2023-08-18
C00130,Manhattan,Consumer,2022-10-07
C00131,Bronx,Consumer,2023-11-23
C00132,Staten Island,Consumer,2023-09-20
C00133,Queens,Consumer,2021-12-11
C00134,Brooklyn,Consumer,2024-09-29
C00135,Queens,SMB,2024-11-27
C00136,Manhattan,SMB,2022-02-09
C00137,Manhattan,Consumer,2023-01-21
C00138,Brooklyn,SMB,2022-07-03
C00139,Bronx,Consumer,2021-09-20
C00140,Manhattan,Consumer,2022-12-02
C00141,Manhattan,Consumer,2020-11-20
C00142,Bronx,SMB,2022-12-31
C00143,Brooklyn,SMB,2022-11-26
C00144,Brooklyn,Consumer,2020-09-22
C00145,Bronx,Consumer,2020-03-27
C00146,Bronx,Consumer,2022-03-02
C00147,Staten Island,Consumer,2022-06-03
C00148,Bronx,Consumer,2024-09-05
C00149,Queens,Consumer,2022-04-07
C00150,Staten Island,Consumer,2024-01-29
C00151,Manhattan,Consumer,2021-11-12
C00152,Bronx,Consumer,2020-05-22
