order_id,customer_id,order_date,sales_channel,order_status
O0000001,C05570,2021-12-31,Delivery,Cancelled
O0000002,C09889,2020-05-14,Store,Completed
O0000003,C05708,2023-12-30,Store,Completed
O0000004,C06203,2020-02-18,Online,Returned
O0000005,C09436,2021-04-05,Online,Completed
O0000006,C03316,2021-10-24,Online,Cancelled
O0000007,C03491,2023-03-05,Online,Completed
O0000008,C01755,2022-09-21,Store,Completed
O0000009,C05452,2023-11-17,Online,Completed
O0000010,C02599,2024-03-30,Online,Completed
O0000011,C08720,2020-12-26,Online,Completed
O0000012,C00783,2024-05-04,Pickup,Completed
O0000013,C09129,2021-12-07,Online,Completed
O0000014,C01357,2022-12-29,Online,Completed
O0000015,C00099,2024-08-31,Online,Completed
O0000016,C02315,2022-05-09,Pickup,Completed
O0000017,C00644,2023-08-08,Pickup,Completed
O0000018,C00464,2020-12-14,Delivery,Completed
O0000019,C03972,2024-04-11,Online,Completed
O0000020,C03880,2023-02-02,Online,Cancelled
O0000021,C03431,2022-11-13,Delivery,Completed
O0000022,C04973,2021-12-23,Online,Completed
O0000023,C00954,2024-12-27,Online,Completed
O0000024,C05665,2020-03-19,Online,Completed
O0000025,C05132,2021-12-13,Pickup,Completed
O0000026,C02969,2021-11-01,Delivery,Completed
O0000027,C08917,2024-10-25,Online,Completed
O0000028,C08972,2020-12-14,Store,Completed
O0000029,C04148,2022-08-18,Store,Completed
O0000030,C03061,2020-11-18,Online,Completed
O0000031,C06432,2023-10-21,Store,Completed
O0000032,C09841,2022-06-16,Delivery,Completed
O0000033,C06048,2023-02-03,Online,Completed
O0000034,C04720,2023-02-06,Store,Completed
O0000035,C03658,2022-09-21,Delivery,Completed
O0000036,C00652,2023-10-06,Online,Returned
O0000037,C03325,2021-08-06,Delivery,Completed
O0000038,C02933,2024-11-30,Online,Cancelled
O0000039,C06224,2022-02-07,Delivery,Returned
O0000040,C03421,2023-11-25,Store,Completed
O0000041,C09910,2022-04-14,Delivery,Completed
O0000042,C05441,2021-05-15,Online,Completed
O0000043,C03057,2022-11-18,Online,Completed
O0000044,C03421,2024-11-02,Pickup,Completed
O0000045,C05871,2020-04-17,Online,Completed
O0000046,C00484,2024-12-28,Pickup,Completed
O0000047,C03709,2024-02-18,Online,Completed
O0000048,C04787,2020-07-10,Online,Completed
O0000049,C02189,2024-02-12,Online,Completed
O0000050,C05635,2024-12-14,Online,Completed
O0000051,C08538,2021-02-20,Online,Completed
O0000052,C08018,2020-12-22,Delivery,Completed
O0000053,C02904,2020-05-02,Online,Completed
O0000054,C06301,2021-11-28,Store,Completed
O0000055,C06327,2022-12-31,Online,Completed
O0000056,C05733,2021-04-01,Online,Completed
O0000057,C00793,2020-12-06,Store,Completed
O0000058,C09919,2020-05-22,Online,Returned
O0000059,C08696,2023-09-23,Online,Completed
O0000060,C06278,2023-02-19,Online,Completed
O0000061,C04164,2022-06-17,Store,Completed
O0000062,C05129,2024-03-16,Online,Completed
O0000063,C00151,2021-09-29,Store,Completed
O0000064,C03045,2024-11-01,Online,Completed
O0000065,C09971,2020-11-28,Store,Completed
O0000066,C04871,2022-05-20,Store,Completed
O0000067,C00887,2021-05-01,Store,Returned
O0000068,C00353,2024-10-10,Online,Completed
O0000069,C08323,2023-10-26,Pickup,Completed
O0000070,C04430,2021-05-20,Store,Completed
O0000071,C05232,2020-07-24,Online,Completed
O0000072,C07073,2022-04-17,Store,Completed
O0000073,C01423,2021-11-06,Online,Completed
O0000074,C06554,2022-08-26,Online,Returned
O0000075,C08416,2023-06-25,Store,Completed
O0000076,C08731,2020-06-05,Online,Cancelled
O0000077,C01075,2022-11-25,Online,Returned
O0000078,C04976,2024-05-16,Online,Completed
O0000079,C02655,2021-04-05,Online,Completed
O0000080,C02167,2022-02-26,Delivery,Completed
O0000081,C00904,2023-11-26,Online,Completed
O0000082,C05885,2024-09-07,Store,Completed
O0000083,C02461,2024-11-30,Pickup,Completed
O0000084,C00089,2022-04-15,Store,Completed
O0000085,C08406,2021-07-09,Store,Cancelled
O0000086,C02745,2022-05-28,Store,Completed
O0000087,C00442,2020-12-23,Online,Completed
O0000088,C00432,2021-11-27,Delivery,Completed
O0000089,C06718,2023-06-01,Online,Completed
O0000090,C05765,2022-11-25,Pickup,Completed
O0000091,C01144,2021-10-23,Online,Completed
O0000092,C00015,2022-12-04,Delivery,Returned
O0000093,C06466,2021-11-23,Online,Completed
O0000094,C01639,2021-06-12,Online,Completed
O0000095,C05896,2021-11-15,Store,Cancelled
O0000096,C06804,2021-06-24,Online,Cancelled
O0000097,C03435,2021-12-04,Store,Completed
O0000098,C04629,2021-04-25,Online,Completed
O0000099,C03651,2023-12-23,Store,Completed
O0000100,C07384,2024-10-25,Online,Completed
O0000101,C01892,2023-10-13,Store,Completed
O0000102,C00098,2020-12-25,Online,Completed
O0000103,C02542,2020-09-27,Online,Completed
O0000104,C05312,2020-12-03,Store,Completed
O0000105,C00768,2022-07-28,Store,Completed
O0000106,C08193,2023-12-24,Online,Completed
O0000107,C04892,2021-12-25,Online,Completed
O0000108,C02808,2024-12-29,Online,Completed
O0000109,C06959,2023-12-17,Delivery,Completed
O0000110,C09197,2023-01-14,Online,Completed
O0000111,C00090,2023-12-09,Online,Completed
O0000112,C08964,2024-04-06,Store,Completed
O0000113,C03563,2023-12-25,Online,Completed
O0000114,C05854,2020-11-05,Pickup,Completed
O0000115,C02976,2022-06-19,Online,Completed
O0000116,C09193,2020-09-27,Online,Completed
O0000117,C09016,2023-07-16,Store,Returned
O0000118,C08789,2020-12-31,Store,Completed
O0000119,C06789,2023-11-10,Online,Completed
O0000120,C03201,2024-12-14,Delivery,Completed
O0000121,C02082,2022-04-17,Pickup,Returned
O0000122,C06709,2020-11-29,Store,Completed
O0000123,C08410,2021-03-03,Delivery,Completed
O0000124,C01808,2023-12-10,Store,Completed
O0000125,C02559,2020-05-13,Delivery,Completed
O0000126,C07987,2023-01-01,Store,Completed
O0000127,C08331,2020-11-13,Online,Completed
O0000128,C07601,2020-03-05,Pickup,Completed
O0000129,C09115,2024-11-16,Delivery,Completed
O0000130,C01284,2022-05-13,Online,Completed
O0000131,C09803,2023-11-02,Online,Returned
O0000132,C05139,2022-03-25,Online,Completed
O0000133,C03852,2020-02-27,Online,Completed
O0000134,C03603,2021-12-13,Online,Completed
O0000135,C02467,2020-06-28,Pickup,Completed
O0000136,C02788,2020-04-09,Online,Completed
O0000137,C08618,2021-11-14,Online,Completed
O0000138,C08940,2020-09-09,Delivery,Completed
O0000139,C01336,2022-12-25,Store,Completed
O0000140,C02655,2021-11-05,Online,Completed
O0000141,C01349,2022-01-12,Online,Completed
O0000142,C05350,2024-12-18,Online,Completed
O0000143,C03195,2023-05-17,Online,Completed
O0000144,C03120,2020-12-19,Online,Cancelled
O0000145,C06238,2022-02-28,Delivery,Completed
O0000146,C08289,2020-04-01,Store,Completed
O0000147,C00183,2020-12-04,Online,Completed
O0000148,C00099,2023-01-15,Store,Completed
O0000149,C02610,2021-03-04,Pickup,Completed
O0000150,C01815,2024-06-15,Online,Completed
O0000151,C06029,2022-11-20,Store,Completed
O0000152,C03382,2022-08-26,Online,Completed
O0000153,C01437,2021-11-16,Pickup,Completed
O0000154,C02204,2020-11-30,Online,Completed
O0000155,C03922,2022-12-11,Online,Completed
O0000156,C07937,2020-12-14,Online,Completed
O0000157,C09490,2021-01-25,Online,Completed
O0000158,C06092,2023-12-15,Pickup,Completed
O0000159,C00444,2021-12-19,Store,Completed
O0000160,C07581,2020-11-22,Online,Completed
O0000161,C09715,2021-06-19,Store,Completed
O0000162,C09710,2023-07-17,Delivery,Completed
O0000163,C02623,2023-10-10,Online,Completed
O0000164,C09700,2023-01-08,Online,Completed
O0000165,C00605,2021-11-01,Delivery,Completed
O0000166,C01061,2022-11-19,Online,Completed
O0000167,C07404,2021-10-07,Delivery,Completed
O0000168,C00242,2020-10-15,Delivery,Cancelled
O0000169,C06278,2023-10-12,Online,Completed
O0000170,C02391,2020-03-23,Online,Cancelled
O0000171,C03560,2021-07-20,Store,Completed
O0000172,C00800,2023-08-26,Delivery,Completed
O0000173,C02015,2020-12-27,Online,Completed
O0000174,C08508,2023-11-23,Store,Completed
O0000175,C09557,2020-11-08,Online,Completed
O0000176,C07685,2020-05-06,Online,Completed
O0000177,C09449,2022-05-22,Store,Completed
O0000178,C03122,2020-09-06,Online,Completed
O0000179,C04906,2021-12-03,Store,Returned
O0000180,C03116,2022-10-28,Store,Completed
O0000181,C07063,2020-04-24,Pickup,Completed
O0000182,C05717,2024-05-05,Online,Completed
O0000183,C08274,2023-03-04,Online,Completed
O0000184,C04407,2023-07-16,Online,Completed
O0000185,C07424,2020-10-16,Store,Completed
O0000186,C00051,2023-12-02,Pickup,Completed
O0000187,C05042,2023-05-22,Online,Completed
