product_id,category,subcategory,unit_cost,list_price
P00001,Electronics,Gaming,742.42,1397.77
P00002,Grocery,Fresh,741.71,1415.13
P00003,Baby,Gear,26.85,42.73
P00004,Office,Furniture,746.83,1130.51
P00005,Office,Electronics,932.43,1319.0
P00006,Beauty,Fragrance,382.69,1007.53
P00007,Office,Furniture,543.75,1109.08
P00008,Toys,Collectibles,199.46,411.96
P00009,Baby,Diapers,183.55,461.68
P00010,Toys,Board Games,22.51,34.76
P00011,Baby,Feeding,552.92,751.63
P00012,Home,Furniture,426.29,1012.33
P00013,Toys,Collectibles,295.46,542.86
P00014,Electronics,Audio,551.68,705.84
P00015,Baby,Diapers,481.56,991.7
P00016,Electronics,TV & Video,473.52,780.99
P00017,Beauty,Makeup,183.59,520.07
P00018,Grocery,Snacks,602.16,981.56
P00019,Beauty,Skincare,471.16,1102.69
P00020,Toys,STEM Toys,172.09,347.31
P00021,Electronics,Phones,905.78,1184.01
P00022,Beauty,Personal Care,119.83,267.62
P00023,Beauty,Fragrance,615.12,1277.8
P00024,Baby,Diapers,611.48,876.38
P00025,Baby,Clothing,544.22,1208.55
P00026,Office,Supplies,19.26,45.98
P00027,Grocery,Frozen,590.61,749.88
P00028,Baby,Gear,509.74,783.21
P00029,Electronics,Audio,667.72,1301.6
P00030,Sports,Team Sports,320.98,690.95
P00031,Beauty,Fragrance,844.66,1275.48
P00032,Grocery,Fresh,873.16,1310.02
P00033,Home,Bedding,309.11,528.08
P00034,Electronics,Smart Home,581.23,1096.68
P00035,Toys,Kids Toys,327.62,787.61
P00036,Beauty,Personal Care,162.32,297.74
P00037,Home,Kitchen,314.16,479.85
P00038,Beauty,Fragrance,836.73,1461.62
P00039,Electronics,Computers,709.67,1098.76
P00040,Home,Decor,321.18,464.96
P00041,Baby,Feeding,152.49,266.1
P00042,Electronics,Computers,546.85,730.06
P00043,Office,Supplies,421.52,713.46
P00044,Grocery,Beverages,790.3,1211.17
P00045,Office,Accessories,906.33,1182.36
P00046,Office,Electronics,481.58,918.81
P00047,Electronics,Smart Home,559.66,913.5
P00048,Beauty,Fragrance,595.96,1354.29
P00049,Grocery,Beverages,553.26,1075.17
P00050,Beauty,Skincare,424.17,919.73
P00051,Baby,Clothing,572.2,892.72
P00052,Office,Furniture,78.64,206.07
P00053,Grocery,Pantry,267.62,355.55
P00054,Baby,Feeding,345.64,476.86
P00055,Baby,Diapers,243.92,413.75
P00056,Home,Furniture,596.61,1144.64
P00057,Home,Bedding,647.8,909.65
P00058,Toys,Board Games,336.18,570.47
P00059,Sports,Cycling,586.99,1308.7
P00060,Baby,Diapers,154.98,436.53
P00061,Grocery,Beverages,288.62,414.01
P00062,Grocery,Snacks,37.14,83.95
P00063,Sports,Outdoor,918.22,1187.13
P00064,Baby,Gear,519.43,693.64
P00065,Grocery,Frozen,68.64,92.89
P00066,Electronics,TV & Video,118.65,187.92
P00067,Home,Storage,426.22,914.04
P00068,Toys,Board Games,372.91,1056.59
P00069,Sports,Outdoor,532.4,785.56
P00070,Office,Furniture,145.23,273.71
P00071,Clothing,Kids,460.71,623.3
P00072,Clothing,Men,125.85,207.84
P00073,Toys,STEM Toys,222.62,298.89
P00074,Office,Supplies,784.19,1156.22
P00075,Baby,Feeding,163.74,291.92
P00076,Grocery,Frozen,620.06,1042.45
P00077,Toys,STEM Toys,862.91,1082.96
P00078,Electronics,TV & Video,886.86,1352.45
P00079,Beauty,Fragrance,275.94,664.17
P00080,Electronics,TV & Video,774.94,1159.39
P00081,Grocery,Pantry,60.81,170.9
P00082,Electronics,Phones,354.68,673.72
P00083,Electronics,Phones,409.69,854.02
P00084,Baby,Feeding,98.62,223.01
P00085,Grocery,Frozen,559.73,1068.18
P00086,Beauty,Personal Care,239.31,499.71
P00087,Baby,Clothing,604.22,1290.68
P00088,Grocery,Pantry,113.08,250.62
P00089,Beauty,Personal Care,150.95,397.38
P00090,Electronics,Computers,787.74,1250.92
P00091,Electronics,TV & Video,10.14,18.44
P00092,Sports,Fitness,408.43,1125.87
P00093,Grocery,Pantry,406.97,835.25
P00094,Clothing,Women,268.59,711.65
P00095,Toys,STEM Toys,511.19,1194.01
P00096,Home,Bath,321.78,539.33
P00097,Home,Bedding,821.18,1148.27
P00098,Electronics,Gaming,499.94,756.03
P00099,Toys,Collectibles,84.71,154.06
P00100,Clothing,Women,157.16,341.3
P00101,Grocery,Snacks,198.23,269.88
P00102,Electronics,Smart Home,163.3,251.39
P00103,Baby,Gear,255.0,599.56
P00104,Grocery,Frozen,447.93,626.6
P00105,Baby,Diapers,701.07,1374.18
P00106,Home,Storage,37.64,60.77
P00107,Electronics,Audio,309.31,844.32
P00108,Grocery,Pantry,778.49,1207.63
P00109,Clothing,Women,405.23,953.23
P00110,Sports,Fitness,146.93,320.8
P00111,Electronics,Smart Home,490.77,1242.08
P00112,Beauty,Makeup,624.45,969.89
P00113,Toys,Kids Toys,678.55,866.21
P00114,Clothing,Athleisure,581.75,1462.75
P00115,Home,Decor,7.03,16.51
P00116,Electronics,Smart Home,472.18,967.55
P00117,Electronics,Smart Home,429.64,603.43
P00118,Baby,Feeding,421.29,925.06
P00119,Beauty,Personal Care,260.67,496.84
P00120,Clothing,Athleisure,450.25,640.65
P00121,Electronics,Smart Home,806.57,1323.05
P00122,Grocery,Pantry,716.69,1150.22
P00123,Grocery,Frozen,99.19,160.6
P00124,Home,Bedding,628.98,868.79
P00125,Toys,Collectibles,88.59,148.95
P00126,Office,Supplies,180.49,229.61
P00127,Home,Decor,1059.84,1472.88
P00128,Baby,Diapers,81.15,121.3
P00129,Electronics,Computers,501.83,690.9
P00130,Toys,STEM Toys,551.78,890.88
P00131,Grocery,Frozen,233.56,483.45
P00132,Toys,Kids Toys,176.79,234.61
P00133,Beauty,Personal Care,718.22,1366.97
P00134,Electronics,Gaming,56.98,131.01
P00135,Toys,Kids Toys,359.34,576.16
P00136,Home,Decor,353.62,869.39
P00137,Baby,Feeding,572.42,1212.85
P00138,Home,Bedding,733.69,1041.27
P00139,Office,Accessories,274.83,381.94
P00140,Clothing,Athleisure,138.71,330.14
P00141,Beauty,Skincare,639.82,1238.31
P00142,Office,Furniture,659.63,1269.12
P00143,Beauty,Makeup,18.59,27.63
P00144,Beauty,Fragrance,322.44,556.41
P00145,Grocery,Frozen,1020.09,1287.12
P00146,Toys,Kids Toys,671.48,1033.03
P00147,Electronics,TV & Video,1030.17,1320.55
P00148,Baby,Diapers,442.53,983.7
P00149,Toys,STEM Toys,457.56,1047.66
P00150,Home,Storage,795.36,1481.15
P00151,Electronics,Smart Home,409.58,748.03
P00152,Beauty,Personal Care,928.79,1267.29
P00153,Toys,Board Games,892.79,1437.43
P00154,Office,Supplies,64.41,108.72
P00155,Sports,Fitness,446.94,617.31
P00156,Sports,Outdoor,247.64,419.99
P00157,Grocery,Pantry,498.42,968.82
P00158,Office,Supplies,18.54,38.41
P00159,Home,Furniture,994.47,1256.8
P00160,Beauty,Fragrance,206.73,563.81
P00161,Toys,STEM Toys,60.46,162.19
P00162,Sports,Cycling,411.88,906.1
P00163,Toys,Collectibles,527.63,966.55
P00164,Electronics,Gaming,323.55,512.5
P00165,Electronics,Gaming,539.78,1262.24
P00166,Clothing,Women,243.24,523.85
P00167,Office,Furniture,137.04,237.66
P00168,Home,Kitchen,131.77,342.07
P00169,Toys,Kids Toys,562.21,1112.04
P00170,Office,Electronics,701.28,1255.52
P00171,Home,Bath,832.63,1113.11
P00172,Beauty,Personal Care,374.93,868.12
P00173,Office,Accessories,2.6,6.05
P00174,Beauty,Skincare,34.6,49.72
P00175,Grocery,Fresh,274.31,491.61
P00176,Toys,Board Games,1078.14,1470.7
P00177,Electronics,Computers,259.56,639.5
P00178,Baby,Gear,269.81,462.92
P00179,Office,Furniture,367.89,615.18
P00180,Grocery,Snacks,525.88,711.02
P00181,Sports,Team Sports,738.77,1070.17
P00182,Home,Kitchen,982.82,1312.64
P00183,Office,Electronics,506.22,1063.06
P00184,Toys,Board Games,759.48,1132.29
P00185,Baby,Clothing,340.19,762.48
P00186,Clothing,Kids,604.01,848.07
P00187,Beauty,Skincare,211.62,296.08
P00188,Home,Furniture,1002.09,1440.81
P00189,Beauty,Fragrance,191.74,503.43
P00190,Electronics,Smart Home,44.93,93.81
P00191,Electronics,Gaming,337.81,484.49
P00192,Toys,Kids Toys,163.09,216.3
P00193,Baby,Gear,659.85,1116.9
P00194,Office,Supplies,23.37,32.73
P00195,Sports,Team Sports,391.9,655.38
P00196,Grocery,Beverages,378.89,506.43
P00197,Home,Bath,44.11,80.81
P00198,Clothing,Women,905.03,1419.88
P00199,Baby,Diapers,601.47,1051.16
P00200,Electronics,Gaming,433.87,771.17
P00201,Sports,Outdoor,1012.84,1420.02
P00202,Office,Electronics,532.31,1018.25
P00203,Clothing,Women,79.81,185.46
P00204,Office,Accessories,227.12,526.2
P00205,Sports,Outdoor,598.13,1045.39
